repo_slug,repo_url,num_forks,num_watchers,num_stars,primary_language,num_PRs,num_PRs_human,num_PRs_agent,num_PRs_bot,num_months_with_agentic_PRs,filter_passed,filter_reason,min_monthly_commits_observed,branch_checked,commits_2025-12,commits_2026-01,commits_2026-02,commits_2026-03,commits_2026-04,commits_2026-05
benwbrum/fromthepage,https://github.com/benwbrum/fromthepage,53,11,179,Ruby,1980,1796,137,47,9,1,passed,53,auto,109,120,76,124,94,53
readthedocs/readthedocs.org,https://github.com/readthedocs/readthedocs.org,3681,237,8279,Python,3884,3636,60,188,5,1,passed,19,auto,40,34,57,48,80,19
XRPLF/rippled,https://github.com/XRPLF/rippled,1577,514,5034,C++,2369,2352,12,5,4,1,passed,21,auto,21,53,52,131,73,80
Azure/azure-sdk-for-python,https://github.com/Azure/azure-sdk-for-python,3174,512,5395,Python,26251,24025,179,2047,10,1,passed,147,auto,166,147,222,232,238,209
fjordllc/bootcamp,https://github.com/fjordllc/bootcamp,75,76,294,Ruby,4098,3673,11,414,4,1,passed,234,auto,344,234,397,294,313,371
Activiti/Activiti,https://github.com/Activiti/Activiti,6976,608,10467,Java,1370,704,11,655,5,1,passed,12,auto,20,19,25,21,20,12
onetimesecret/onetimesecret,https://github.com/onetimesecret/onetimesecret,414,42,2563,Ruby,1789,966,76,747,5,1,passed,645,auto,1291,1280,689,1148,645,660
rsyslog/rsyslog,https://github.com/rsyslog/rsyslog,701,90,2211,C,1429,1133,288,8,9,1,passed,130,auto,138,225,153,130,215,520
umbraco/Umbraco-CMS,https://github.com/umbraco/Umbraco-CMS,2830,222,5024,C#,8044,7901,32,111,7,1,passed,177,auto,177,195,196,276,404,357
openfoodfacts/openfoodfacts-server,https://github.com/openfoodfacts/openfoodfacts-server,499,30,875,HTML,7591,6119,63,1409,7,1,passed,59,auto,59,66,121,125,131,105
Automattic/jetpack,https://github.com/Automattic/jetpack,839,214,1751,PHP,25384,24794,78,512,6,1,passed,229,auto,229,324,414,375,413,542
firebase/firebase-tools,https://github.com/firebase/firebase-tools,1090,206,4270,TypeScript,4683,4186,77,420,9,1,passed,40,auto,50,69,42,119,108,40
sebastienros/jint,https://github.com/sebastienros/jint,584,141,4453,C#,912,818,10,84,3,1,passed,15,auto,16,36,15,57,43,38
BitGo/BitGoJS,https://github.com/BitGo/BitGoJS,300,76,383,TypeScript,7394,7208,13,173,3,1,passed,273,auto,358,349,302,273,471,312
4ian/GDevelop,https://github.com/4ian/GDevelop,1145,292,17643,JavaScript,4330,3725,62,543,8,1,passed,56,auto,56,83,107,96,81,60
E3SM-Project/E3SM,https://github.com/E3SM-Project/E3SM,446,139,401,Fortran,3212,3168,26,18,4,1,passed,170,auto,181,218,301,400,355,170
hmislk/hmis,https://github.com/hmislk/hmis,112,17,187,HTML,8658,8030,582,46,7,1,passed,838,auto,1086,1025,838,1329,1086,977
netlify/cli,https://github.com/netlify/cli,432,52,1756,TypeScript,6236,1971,41,4224,6,1,passed,12,auto,12,35,42,122,66,20
netz98/n98-magerun2,https://github.com/netz98/n98-magerun2,228,39,917,PHP,1241,294,71,876,7,1,passed,21,auto,21,30,57,23,40,27
microsoft/azure-pipelines-tasks,https://github.com/microsoft/azure-pipelines-tasks,2670,267,3597,TypeScript,5666,5263,29,374,8,1,passed,37,auto,40,79,48,37,56,45
dotnet/fsharp,https://github.com/dotnet/fsharp,830,177,4196,F#,7766,6965,103,698,10,1,passed,26,auto,26,40,66,119,81,61
fwupd/fwupd,https://github.com/fwupd/fwupd,512,51,3680,C,6088,5853,23,212,6,1,passed,102,auto,102,214,173,349,462,312
owid/owid-grapher,https://github.com/owid/owid-grapher,241,28,1492,TypeScript,4172,3994,15,163,8,1,passed,201,auto,252,276,214,337,201,202
jeonghoonkang/BerePi,https://github.com/jeonghoonkang/BerePi,22,9,18,Jupyter Notebook,299,130,168,1,9,1,passed,27,auto,74,43,27,30,120,129
dotnet/Nerdbank.GitVersioning,https://github.com/dotnet/Nerdbank.GitVersioning,177,22,1518,C#,562,276,22,264,6,1,passed,10,auto,45,14,19,10,88,15
RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,12431,860,43854,TypeScript,14907,13427,61,1419,8,1,passed,114,auto,303,143,203,172,167,114
dotnet/docs,https://github.com/dotnet/docs,6056,360,4574,NA,24968,15706,456,8806,10,1,passed,197,auto,262,234,247,374,292,197
mattermost/mattermost,https://github.com/mattermost/mattermost,8123,536,34383,TypeScript,14842,14509,25,308,7,1,passed,87,auto,87,120,133,165,199,181
prebid/Prebid.js,https://github.com/prebid/Prebid.js,2279,204,1512,JavaScript,8258,7873,196,189,9,1,passed,60,auto,60,62,92,85,141,84
prebid/prebid.github.io,https://github.com/prebid/prebid.github.io,1297,35,74,HTML,4497,4423,31,43,5,1,passed,18,auto,18,22,36,40,44,30
helsingborg-stad/Municipio,https://github.com/helsingborg-stad/Municipio,16,15,38,PHP,1755,1701,12,42,6,1,passed,26,auto,153,107,144,98,99,26
getsentry/sentry-cli,https://github.com/getsentry/sentry-cli,234,69,957,Rust,1401,1229,25,147,7,1,passed,22,auto,78,42,26,76,22,23
Homebrew/brew,https://github.com/Homebrew/brew,10662,730,45401,Ruby,11264,8784,40,2440,7,1,passed,246,auto,386,246,273,478,489,523
home-assistant/iOS,https://github.com/home-assistant/iOS,393,78,1996,Swift,2153,1604,132,417,4,1,passed,27,auto,69,85,63,47,79,27
getsentry/sentry-cocoa,https://github.com/getsentry/sentry-cocoa,372,61,977,Swift,4665,4308,46,311,7,1,passed,66,auto,85,117,115,118,71,66
outline/outline,https://github.com/outline/outline,2944,179,35897,TypeScript,4338,3173,224,941,12,1,passed,142,auto,155,148,149,146,208,142
projectcalico/calico,https://github.com/projectcalico/calico,1501,118,6886,Go,6340,6229,41,70,7,1,passed,139,auto,142,139,221,584,346,174
envoyproxy/envoy,https://github.com/envoyproxy/envoy,5145,571,27003,C++,23711,19629,44,4038,6,1,passed,188,auto,304,264,268,262,304,188
python-social-auth/social-core,https://github.com/python-social-auth/social-core,570,22,898,Python,874,469,10,395,3,1,passed,38,auto,69,38,41,46,72,41
MUnique/OpenMU,https://github.com/MUnique/OpenMU,410,78,889,C#,362,325,13,24,5,1,passed,21,auto,67,97,21,134,121,33
abpframework/abp,https://github.com/abpframework/abp,3629,326,13911,C#,13101,8549,23,4529,5,1,passed,257,auto,546,584,462,487,365,257
misskey-dev/misskey,https://github.com/misskey-dev/misskey,1522,94,10813,TypeScript,5410,4394,30,986,7,1,passed,18,auto,110,66,18,47,62,80
MicrosoftDocs/windows-dev-docs,https://github.com/MicrosoftDocs/windows-dev-docs,1268,94,754,C#,1212,1140,41,31,4,1,passed,96,auto,158,153,290,505,356,96
AzureAD/microsoft-authentication-library-for-js,https://github.com/AzureAD/microsoft-authentication-library-for-js,2699,125,3971,TypeScript,3396,2769,35,592,8,1,passed,14,auto,14,16,14,30,44,14
javalin/javalin,https://github.com/javalin/javalin,633,106,8082,Kotlin,857,642,40,175,5,1,passed,11,auto,19,20,26,21,11,12
QL-Win/QuickLook,https://github.com/QL-Win/QuickLook,1197,229,21372,C#,123,83,31,9,8,1,passed,22,auto,34,49,26,22,85,86
